name,estimator_type,status,path,cv_mae,holdout_mae,holdout_rmse,holdout_mape,holdout_r2,beats_baseline,window_size,selected_features,details
baseline_prix_t_1,Baseline naive Prix_T-1,reference,,,205.97238895558223,266.4905193036921,9.48428632099294,0.9745486170156638,False,12,"Prix_T-1, Prix_Intrants, Superficie_Cultivee_ha, Demographie_Vente, Cout_Transport, Inflation_Mensuelle_Pct, Pertes_PostRecolte_Pct, Taux_Naira, Choc_Economique, Indice_Carburant",Reference: prediction = Prix_T-1 sur le holdout temporel.
regression_model,Regression lineaire multiple explicable,trained,models/regression_model.joblib,,152.63358536639498,236.70974416669569,6.967324494092406,0.9803301081711644,True,0,"Saisonnalite_Sin, Saisonnalite_Cos, Superficie_Cultivee_ha, Demographie_Vente, Pluie_Lag, Temperature_Moy, Pertes_PostRecolte_Pct, Prix_Intrants, Indice_Carburant, Accessibilite_Route, Cout_Transport, Taux_Naira, Inflation_Mensuelle_Pct, Restrictions_Import, Stocks_Retenus, Choc_Demande, Choc_Securitaire, Choc_Frontiere, Choc_Sanitaire, Choc_Economique, Prix_T-1","Modele tabulaire explicable conserve comme reference de production, sans PCA pour garder les coefficients lisibles."
mlp_model,MLP fenetre avec PCA(10),trained,models/mlp_model.joblib,710.2552487707261,525.4834845419036,818.6148965269164,31.15399315063838,0.7598364212226429,False,12,"Prix_T-1, Prix_Intrants, Superficie_Cultivee_ha, Demographie_Vente, Cout_Transport, Inflation_Mensuelle_Pct, Pertes_PostRecolte_Pct, Taux_Naira, Choc_Economique, Indice_Carburant","{""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [64, 32]}"
random_forest_model,Random Forest fenetre,trained,models/random_forest_model.joblib,79.6595064443887,407.85126182342765,1025.000495324365,14.101774557875576,0.6234730985328445,False,12,"Prix_T-1, Prix_Intrants, Superficie_Cultivee_ha, Demographie_Vente, Cout_Transport, Inflation_Mensuelle_Pct, Pertes_PostRecolte_Pct, Taux_Naira, Choc_Economique, Indice_Carburant","{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 150}"
xgboost_model,XGBoost fenetre,trained,models/xgboost_model.joblib,85.76395172542996,434.7044830688623,1048.4765159272533,14.767418746568644,0.606028074722786,False,12,"Prix_T-1, Prix_Intrants, Superficie_Cultivee_ha, Demographie_Vente, Cout_Transport, Inflation_Mensuelle_Pct, Pertes_PostRecolte_Pct, Taux_Naira, Choc_Economique, Indice_Carburant","{""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__n_estimators"": 200}"
lstm_model,LSTM TensorFlow fenetre,trained,models/lstm_model.keras,,760.0605466703488,1300.0152698455656,31.9602498929439,0.4067105761685982,False,12,"Prix_T-1, Prix_Intrants, Superficie_Cultivee_ha, Demographie_Vente, Cout_Transport, Inflation_Mensuelle_Pct, Pertes_PostRecolte_Pct, Taux_Naira, Choc_Economique, Indice_Carburant",preprocessor=models/lstm_preprocessor.joblib
